year,reclat,reclong,GeoLocation
1880,50.775,6.08333,"(50.775000, 6.083330)"
1951,56.18333,10.23333,"(56.183330, 10.233330)"
1952,54.21667,-113,"(54.216670, -113.000000)"
1976,16.88333,-99.9,"(16.883330, -99.900000)"
1902,-33.16667,-64.95,"(-33.166670, -64.950000)"
1919,32.1,71.8,"(32.100000, 71.800000)"
1949,44.83333,95.16667,"(44.833330, 95.166670)"
1814,44.21667,0.61667,"(44.216670, 0.616670)"
1930,-31.6,-65.23333,"(-31.600000, -65.233330)"
1920,-30.86667,-64.55,"(-30.866670, -64.550000)"
1974,16.39806,-9.57028,"(16.398060, -9.570280)"
1925,19.08333,8.38333,"(19.083330, 8.383330)"
1769,50.66667,2.33333,"(50.666670, 2.333330)"
1949,29.51667,35.05,"(29.516670, 35.050000)"
1838,29.71667,77.95,"(29.716670, 77.950000)"
1959,8.91667,8.43333,"(8.916670, 8.433330)"
1981,39.91667,42.81667,"(39.916670, 42.816670)"
1957,24.41667,39.51667,"(24.416670, 39.516670)"
2001,13.66033,28.96,"(13.660330, 28.960000)"
1806,44.11667,4.08333,"(44.116670, 4.083330)"
1766,44.65,11.01667,"(44.650000, 11.016670)"
1949,2,22.66667,"(2.000000, 22.666670)"
2002,45.82133,6.01533,"(45.821330, 6.015330)"
1835,51.78333,-1.78333,"(51.783330, -1.783330)"
1873,36.23333,37.13333,"(36.233330, 37.133330)"
1860,44.88333,8.75,"(44.883330, 8.750000)"
1900,50.95,31.81667,"(50.950000, 31.816670)"
1883,45.26667,10.15,"(45.266670, 10.150000)"
1899,42.53333,-85.88333,"(42.533330, -85.883330)"
1969,26.96667,-105.31667,"(26.966670, -105.316670)"
2008,20.74575,32.41275,"(20.745750, 32.412750)"
1977,35.27333,44.21556,"(35.273330, 44.215560)"
1895,27.66667,78.25,"(27.666670, 78.250000)"
1880,26.58333,85.56667,"(26.583330, 85.566670)"
1898,44.61667,-70.75,"(44.616670, -70.750000)"
1969,48.7,37.5,"(48.700000, 37.500000)"
1939,20.88333,76.86667,"(20.883330, 76.866670)"
,0,0,"(0.000000, 0.000000)"
1822,47.46667,-0.55,"(47.466670, -0.550000)"
1869,-22.96667,-44.31667,"(-22.966670, -44.316670)"
1942,9.53333,39.71667,"(9.533330, 39.716670)"
1971,25.15,105.18333,"(25.150000, 105.183330)"
1984,40.81056,140.78556,"(40.810560, 140.785560)"
1914,53.58333,-2.71667,"(53.583330, -2.716670)"
1803,43.86667,5.38333,"(43.866670, 5.383330)"
1954,-33,-66,"(-33.000000, -66.000000)"
1932,38.5,-94.3,"(38.500000, -94.300000)"
1950,-31.41667,-60.66667,"(-31.416670, -60.666670)"
1805,42.45,9.03333,"(42.450000, 9.033330)"
2009,31.805,-97.01,"(31.805000, -97.010000)"
1923,52.05,0.3,"(52.050000, 0.300000)"
1886,43.03333,12.55,"(43.033330, 12.550000)"
1920,25.25417,80.625,"(25.254170, 80.625000)"
1896,20.06667,-103.66667,"(20.066670, -103.666670)"
1933,34.75,-87,"(34.750000, -87.000000)"
1945,34.31667,-96.15,"(34.316670, -96.150000)"
1836,44.38333,5.16667,"(44.383330, 5.166670)"
1865,36.16667,3.66667,"(36.166670, 3.666670)"
1842,44.33333,3.23333,"(44.333330, 3.233330)"
1858,43.08333,0.58333,"(43.083330, 0.583330)"
1952,-21.46028,-49.95083,"(-21.460280, -49.950830)"
1908,46,13.5,"(46.000000, 13.500000)"
1855,25,-103.5,"(25.000000, -103.500000)"
1968,2.71667,32.83333,"(2.716670, 32.833330)"
1938,36.8,-108,"(36.800000, -108.000000)"
1814,48.6,38,"(48.600000, 38.000000)"
1934,28.48333,78.5,"(28.483330, 78.500000)"
1929,35.96667,-82.48333,"(35.966670, -82.483330)"
1922,34.5,-88.66667,"(34.500000, -88.666670)"
1907,5.38333,16.38333,"(5.383330, 16.383330)"
1993,16.66667,101.18333,"(16.666670, 101.183330)"
1871,-6.91667,107.6,"(-6.916670, 107.600000)"
1892,27.7,76.33333,"(27.700000, 76.333330)"
1913,30.4,78.2,"(30.400000, 78.200000)"
1933,-6.33333,106,"(-6.333330, 106.000000)"
1790,43.95,-0.05,"(43.950000, -0.050000)"
1704,41.36667,2.16667,"(41.366670, 2.166670)"
1842,42.38333,-2.5,"(42.383330, -2.500000)"
1904,52.73333,84.08333,"(52.733330, 84.083330)"
1886,52,9.1,"(52.000000, 9.100000)"
1910,31.61667,76.8,"(31.616670, 76.800000)"
1965,52.56528,-1.33972,"(52.565280, -1.339720)"
2006,15.78333,-5.9,"(15.783330, -5.900000)"
1994,52.03333,20.93583,"(52.033330, 20.935830)"
1892,45.41667,-98.31667,"(45.416670, -98.316670)"
1902,38.25,-83.75,"(38.250000, -83.750000)"
2012,40.66813,-117.18913,"(40.668130, -117.189130)"
1989,11.08333,-0.18333,"(11.083330, -0.183330)"
1916,36.75,-93.5,"(36.750000, -93.500000)"
1929,39.8,-101.2,"(39.800000, -101.200000)"
1893,51.16667,-117.33333,"(51.166670, -117.333330)"
1949,53.01667,-4.1,"(53.016670, -4.100000)"
1961,33.6,-96.46667,"(33.600000, -96.466670)"
1937,-32.33333,-64.86667,"(-32.333330, -64.866670)"
1798,25.36667,82.91667,"(25.366670, 82.916670)"
2004,32.25,-8.15,"(32.250000, -8.150000)"
2001,32.86667,10.8,"(32.866670, 10.800000)"
1938,39.08333,-89.15,"(39.083330, -89.150000)"
1943,-26.16667,28.41667,"(-26.166670, 28.416670)"
2002,30,-7,"(30.000000, -7.000000)"
1949,45.95,-67.55,"(45.950000, -67.550000)"
2008,-31.91,-58.32833,"(-31.910000, -58.328330)"
1924,11.65,-3.65,"(11.650000, -3.650000)"
1811,41.68333,-3.8,"(41.683330, -3.800000)"
2004,40.30583,-105.02325,"(40.305830, -105.023250)"
1859,42.53333,-73.83333,"(42.533330, -73.833330)"
1859,43.21667,-0.23333,"(43.216670, -0.233330)"
1921,33.88333,35.5,"(33.883330, 35.500000)"
1877,20.88333,74.83333,"(20.883330, 74.833330)"
2002,26.50833,73.11528,"(26.508330, 73.115280)"
1893,20.83333,71.46667,"(20.833330, 71.466670)"
1940,22.68333,90.65,"(22.683330, 90.650000)"
1905,22.08333,86.9,"(22.083330, 86.900000)"
1827,53.1,23.2,"(53.100000, 23.200000)"
1887,50.13333,27.16667,"(50.133330, 27.166670)"
1999,12.45,-0.08333,"(12.450000, -0.083330)"
1984,-33.15639,115.67639,"(-33.156390, 115.676390)"
1923,13.76667,5.3,"(13.766670, 5.300000)"
1843,34.16667,-80.28333,"(34.166670, -80.283330)"
1895,25.38333,82.6,"(25.383330, 82.600000)"
1796,49.78333,30.16667,"(49.783330, 30.166670)"
1899,60.4,25.8,"(60.400000, 25.800000)"
1941,40.91667,-78.08333,"(40.916670, -78.083330)"
1906,36.83333,-97.33333,"(36.833330, -97.333330)"
1909,31.83333,-98.83333,"(31.833330, -98.833330)"
1833,49.36667,16.63333,"(49.366670, 16.633330)"
1938,40.48,-89.00417,"(40.480000, -89.004170)"
1977,33.83333,115.83333,"(33.833330, 115.833330)"
1804,23,-102,"(23.000000, -102.000000)"
1962,12.5,0.7,"(12.500000, 0.700000)"
1916,44.55,131.63333,"(44.550000, 131.633330)"
1808,44.86667,10.05,"(44.866670, 10.050000)"
1894,21.95,78.03333,"(21.950000, 78.033330)"
1930,54.23333,52.48333,"(54.233330, 52.483330)"
1852,48.15,24.28333,"(48.150000, 24.283330)"
1812,55.46667,35.86667,"(55.466670, 35.866670)"
1823,51.33333,33.88333,"(51.333330, 33.883330)"
2003,17.71067,-11.3715,"(17.710670, -11.371500)"
2011,17.17493,-11.34133,"(17.174930, -11.341330)"
1969,54.56667,-6.33333,"(54.566670, -6.333330)"
1886,40.5,-80.08333,"(40.500000, -80.083330)"
1847,50.6,16.3,"(50.600000, 16.300000)"
1956,50.66694,8.18361,"(50.666940, 8.183610)"
1855,53.4,9.1,"(53.400000, 9.100000)"
1933,52.13333,59.31667,"(52.133330, 59.316670)"
1960,53.9,-112.88333,"(53.900000, -112.883330)"
2001,39.77978,64.60035,"(39.779780, 64.600350)"
1964,,,
2007,-31.35,129.19,"(-31.350000, 129.190000)"
1942,10.01667,9.58333,"(10.016670, 9.583330)"
1919,5,48,"(5.000000, 48.000000)"
1990,37.62194,-82.23722,"(37.621940, -82.237220)"
1946,40.2,29.23333,"(40.200000, 29.233330)"
1863,46.45,25.78333,"(46.450000, 25.783330)"
1852,26.78333,82.83333,"(26.783330, 82.833330)"
1861,27.08333,84.08333,"(27.083330, 84.083330)"
2008,52.996,-109.84817,"(52.996000, -109.848170)"
1870,37.98333,-1.16667,"(37.983330, -1.166670)"
1886,35.5,-93.5,"(35.500000, -93.500000)"
1919,43.83889,20.33333,"(43.838890, 20.333330)"
2007,3.405,-76.51,"(3.405000, -76.510000)"
1916,11.75,122.33333,"(11.750000, 122.333330)"
1991,-7.03333,-40.16667,"(-7.033330, -40.166670)"
1964,39.8,26.6,"(39.800000, 26.600000)"
1861,41.25,1.66667,"(41.250000, 1.666670)"
1866,43.38333,-5.15,"(43.383330, -5.150000)"
1973,38.47028,-105.24139,"(38.470280, -105.241390)"
1846,37.26667,-89.58333,"(37.266670, -89.583330)"
1934,-30.88333,-64.55,"(-30.883330, -64.550000)"
2007,-16.66444,-69.04389,"(-16.664440, -69.043890)"
1902,38.5,27,"(38.500000, 27.000000)"
1874,36.08333,-78.06667,"(36.083330, -78.066670)"
1791,43.35,11.5,"(43.350000, 11.500000)"
1848,44.38333,-68.75,"(44.383330, -68.750000)"
1583,39.8,16.2,"(39.800000, 16.200000)"
1810,36.5,-79.25,"(36.500000, -79.250000)"
1988,26.46667,-105.23333,"(26.466670, -105.233330)"
1956,43.2,-96.91667,"(43.200000, -96.916670)"
1840,45.08333,8.3,"(45.083330, 8.300000)"
1998,28.53333,109.31667,"(28.533330, 109.316670)"
1814,25.36667,81.66667,"(25.366670, 81.666670)"
1907,25.85,83.48333,"(25.850000, 83.483330)"
1933,-30.78333,-58.05,"(-30.783330, -58.050000)"
1838,20.26667,76.01667,"(20.266670, 76.016670)"
1885,27.28333,79.05,"(27.283330, 79.050000)"
1977,29.08333,111.75,"(29.083330, 111.750000)"
1812,46.68333,1.05,"(46.683330, 1.050000)"
1835,36.16667,-87.33333,"(36.166670, -87.333330)"
1810,47.93333,1.56667,"(47.933330, 1.566670)"
1834,29.48333,75.5,"(29.483330, 75.500000)"
1815,47.71667,5.36667,"(47.716670, 5.366670)"
1841,47.93333,2.91667,"(47.933330, 2.916670)"
1925,41.93333,-7.46667,"(41.933330, -7.466670)"
1988,-3.66667,32.5,"(-3.666670, 32.500000)"
2013,54.81667,61.11667,"(54.816670, 61.116670)"
2007,23.69639,-5.01472,"(23.696390, -5.014720)"
1964,53.7,30.1,"(53.700000, 30.100000)"
1933,35.03333,-81.88333,"(35.033330, -81.883330)"
1901,46.55,6.81667,"(46.550000, 6.816670)"
1939,50.83333,34,"(50.833330, 34.000000)"
1880,14.5,76.5,"(14.500000, 76.500000)"
1981,17.9,101.63333,"(17.900000, 101.633330)"
1938,40.93333,-79.73333,"(40.933330, -79.733330)"
1988,-10.05944,33.395,"(-10.059440, 33.395000)"
1966,-17.35,13.96667,"(-17.350000, 13.966670)"
1978,47.47083,0.97667,"(47.470830, 0.976670)"
1979,-6.95,108.1,"(-6.950000, 108.100000)"
1984,32.1025,-81.87278,"(32.102500, -81.872780)"
1822,,,
1917,44.9,-90.28333,"(44.900000, -90.283330)"
1838,-33.13333,19.38333,"(-33.133330, 19.383330)"
1994,43.76111,-84.50778,"(43.761110, -84.507780)"
1890,42.53333,12.61667,"(42.533330, 12.616670)"
1965,-19.85,-47.55,"(-19.850000, -47.550000)"
1844,21.16667,-100.86667,"(21.166670, -100.866670)"
1917,10.2,76.26667,"(10.200000, 76.266670)"
1936,35.95,-97.58333,"(35.950000, -97.583330)"
1877,-27.7,27.3,"(-27.700000, 27.300000)"
1892,35.63333,-78.13333,"(35.633330, -78.133330)"
1902,54.61667,-6.21667,"(54.616670, -6.216670)"
1919,36.83333,-84.35,"(36.833330, -84.350000)"
1877,38.4,-84.25,"(38.400000, -84.250000)"
1981,35.61667,8.83333,"(35.616670, 8.833330)"
1878,26.91667,83.96667,"(26.916670, 83.966670)"
1868,-28.2,24.56667,"(-28.200000, 24.566670)"
1868,34.4,-87.06667,"(34.400000, -87.066670)"
1804,49.86667,8.65,"(49.866670, 8.650000)"
1998,41.98444,59.685,"(41.984440, 59.685000)"
2008,-1.87089,-79.95756,"(-1.870890, -79.957560)"
1887,43,-80,"(43.000000, -80.000000)"
1829,40.25,-74,"(40.250000, -74.000000)"
1897,28.56667,77.25,"(28.566670, 77.250000)"
1911,51.46667,84.76667,"(51.466670, 84.766670)"
1967,39.7825,-104.93056,"(39.782500, -104.930560)"
